,Group.1,G11.1.rna,G11.2.rna,G11.3.rna,G11.4.rna,G11.5.rna,G1.1.rna,G1.2.rna,G1.3.rna,G1.4.rna,G1.5.rna,V10A.1.rna,V10A.2.rna,V10A.3.rna,V10A.4.rna,V10A.5.rna
1265,Lymphocryptovirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1266,Lyngbya,0.1720033279,0.0432777532,0.1918740815,0,0,0,0.160297448,0.0964832995,0.1537592444,0.0727983026,0,0.0972368969,0.0726272426,0.0823622346,0.0371834932
1267,Lysinibacillus,0.6020116477,0.1731110126,0.3197901358,0.1016614221,0.0897471267,0.1245056038,0.2003718099,0.3859331981,0.2690786777,0.2547940593,0.093689778,0.1458553453,0.1815681064,0.1235433518,0.1115504796
1268,Lysinimicrobium,0.2580049919,0.4760552848,0.4477061901,0.5083071107,0.1794942535,0.8715392266,0.7614128779,2.2191158886,1.153194333,1.0191762375,0.3279142229,0.5834213813,0.0726272426,0.4941734073,0.4462019183
1269,Lysobacter,0.6880133117,1.3848881011,1.7908247606,1.3215984878,4.4424827723,0.3112640095,0.761412878,1.2221217936,2.2295090438,1.7107601127,0.374759112,0.5348029329,0.4357634555,0.5353545247,1.7104406863
1270,Macellibacteroides,0.2580049919,0.562610791,0.383748163,0,0,0,0,0.0321610998,0.0384398111,0,0,0.0972368969,0,0,0
1271,Macrococcus,0,0.0865555063,0,0.0508307111,0.0448735634,0,0.080148724,0.0321610998,0.0384398111,0,0,0,0.0363136213,0,0
1272,Macrophomina,0.1720033279,0.2596665189,0.3197901358,0.2541535553,0,0.3735168114,0.040074362,0.0964832995,0.1153194333,0,0.5621386678,1.5557903503,0.1452544851,0.5353545245,0
1273,Madurella,0.1720033279,0.0865555063,0,0,0,0,0.040074362,0.1286443994,0.0384398111,0,0,0.437566036,0,0.2882678209,0.5205689045
1274,Mageeibacillus,0,0.0865555064,0,0,0,0,0.040074362,0.0643221996,0.0768796222,0.1455966054,0,0,0,0.1235433518,0
1275,Magnaporthe,0,0,0,0,0,0.0622528019,0,0.0643221997,0,0,0,0,0,0,0
1276,Magnaporthiopsis,0.2580049919,0.3462220254,2.4943630594,1.0166142212,0.0897471268,0.4980224152,0.4007436199,0.4502553977,0.2690786777,0.2911932107,0.6089835568,1.1182243143,0.6173315618,0.1647244691,0.2974679454
1277,Magnetococcus,0.086001664,0.7789995569,0.8314543532,0.4574763996,0.7179770137,0.1245056038,0.440817982,0.3537720983,0.384398111,0.4731889673,0.421604001,0.6320398298,0.3631362128,0.7000789935,1.5617067134
1278,Magnetofaba,0,0.3029442722,0.1918740815,0.3558149774,0,0,0.160297448,0.0643221996,0.4228379221,0.0363991513,0,0.2430922422,0.2178817277,0.3294489381,0.5949358909
1279,Magnetospira,0,0.2163887658,0.0639580272,0.2541535553,0.1794942535,0.2490112076,0.6411897919,1.2221217937,0.5381573554,0.4731889674,0.234224445,0.8265136236,0.5083906981,0.7412601109,0.2602844524
1280,Magnetospirillum,5.9341148136,18.6527116113,30.3161048745,11.6910635445,15.3018851039,11.7035267581,19.3959912019,27.8836735593,14.0689708625,11.2837369163,5.9493009016,14.1479684975,10.0225594744,12.4778785334,12.7539381607
1281,Magnetovibrio,0.2580049919,0.562610791,0.5756222444,1.3215984877,0.7628505771,0.3735168114,0.4408179818,0.5145775973,0.4228379221,0.6915838755,0.4216040009,0.5834213813,0.3631362129,0.1235433518,0.4833854113
1282,Mahella,3.5260682224,4.6739973413,1.7908247604,3.6598111964,6.8207816294,0.7470336228,1.6029744797,2.2834380884,2.306388666,1.6379618103,0.4216040009,1.0696058658,1.5251720937,1.6884258081,3.2349639063
1283,Mailhella,0.4300083199,0.6058885442,0.5756222445,0.5591378217,0.5833563237,0,0.080148724,0.1286443993,0.2306388666,0.1819957567,0.046844889,0.2917106907,0.508390698,0.288267821,0.2974679456
1284,Malassezia,0,0,0,0,0,0,0,0,0,0.0363991513,0,0,0,0.0823622345,0.2231009591
1285,Maledivibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1286,Malonomonas,0.086001664,0.3894997784,1.0872864618,1.0674449323,0.2243678168,0.0622528019,0.2404461719,0.385933198,0.1921990555,0.109197454,0.093689778,0.3403291391,0.9078405321,1.4825202218,0.7436698635
1287,Mamastrovirus,0,0.1731110126,0,0.1016614221,0,0,0.1602974479,0,0.0768796222,0.0363991513,0,0,0,0.0823622345,0
1288,Mangrovibacter,0,0,0.2558321086,0.1016614221,0.0448735634,0,0.120223086,0,0.0384398111,0,0,0,0.0726272426,0,0.1487339728
1289,Mangrovimonas,0,0,0,0,0,0,0,0.1286443994,0.1537592444,0,0,0,0,0,0
1290,Mannheimia,0.8600166396,0,0,0,0,0,0.040074362,0,0,0.0727983027,0.046844889,0.0972368969,0,0,0
1291,Maribacter,0,0.0432777532,0.1918740815,0,0,0,0,0,0.0384398111,0,0,0,0,0,0
1292,Maribius,0,0.1298332595,0,0,0.0448735634,0,0.160297448,0.0321610998,0.0384398111,0.0363991513,0,0.1458553453,0.1089408638,0.0823622345,0.1115504795
1293,Maricaulis,0,0.8222773099,0.0639580272,1.1182756433,0.2692413802,0.1867584057,0.240446172,0.0964832995,0.384398111,0.109197454,0.140534667,0.3403291391,0.0726272426,0.3294489381,0.3346514386
1294,Marichromatium,0.258004992,0.7789995568,6.4597607434,1.0674449324,2.3334252944,0,0.160297448,0.3216109983,0.1153194333,0.1819957567,0.3747591119,0.0972368968,0.508390698,0.6588978764,1.0039543158
1295,Marinactinospora,17.1143311281,19.1720446489,6.0760125805,6.0488546166,0.4038620702,41.5226188705,12.423052216,27.9801568585,10.2634295633,7.7530192362,36.6327031855,42.930089977,11.8019269171,12.6837841196,3.6811658248
1296,Marinagarivorans,0.086001664,0.0432777532,0.3837481629,0.1016614221,0.1794942534,0.1245056038,0.040074362,0,0.1921990555,0,0,0,0,0,0.1115504796
1297,Marinicella,0.5160099838,0.4327775316,0.1918740815,0.1524921333,0.1794942535,0.1867584057,0.5209667059,0.4502553977,0.2690786777,0.1819957566,0.093689778,0,0.1452544852,0.0411811173,0.2231009591
1298,Marinifilum,0.086001664,0.3029442721,0.1918740815,0.0508307111,0.0897471267,0,0,0.0643221996,0.1153194333,0,0,0,0,0,0.1487339727
1299,Marinilabilia,0.086001664,0.82227731,0.5116642173,0.8641220881,0.0448735634,0,0.160297448,0.4502553977,0.1153194333,0.0363991513,0.3747591119,0.2917106906,0.1452544852,0.2882678209,0.1115504795
1300,Marinilactibacillus,0,0,0,0,0,0,0.040074362,0,0,0.0363991513,0.093689778,0,0,0,0.1115504795
1301,Marinimicrobium,0,0.3029442721,2.3664470049,0.1016614221,0.8077241404,0,0,0.0643221997,0,0.1455966054,0,0,0.1815681064,0.1647244691,0.8924038363
1302,Marininema,0.086001664,0.4327775315,0.3197901358,0.2541535553,0.2692413801,0,0.080148724,0.0643221996,0.0384398111,0.327592362,0.093689778,0.0486184484,0.1815681065,0.2882678208,0.3346514387
1303,Mariniphaga,0,0.0432777532,0,0.0508307111,0,0,0.120223086,0.0643221997,0.0384398111,0,0.1873795559,0.1944737938,0,0,0.0371834932
1304,Mariniradius,0.1720033279,0.1298332595,0.4477061901,0.1016614221,0,0,0,0.0321610998,0.0768796222,0.0727983027,0,0,0,0.0823622345,0.1859174659
1305,Marinithermus,0.5160099838,1.4714436075,1.9187408148,0.7116299549,1.6603218441,0.9337920286,1.2022308596,2.1869547889,1.4607128217,1.3103694484,0.6089835568,0.9237505205,0.7988996682,1.6060635735,0.9667708227
1306,Marinitoga,0,0.2163887658,0.0639580272,0.5591378217,0.2692413802,0,0.4808923438,0.2251276988,0.2690786777,0.1819957567,0.187379556,0,0,0.1235433518,0
1307,Marinobacter,0.5160099838,2.7264984491,2.750195168,1.8299055982,3.4552643784,0.3112640095,0.561041068,1.2864439934,2.306388666,1.6743609619,0.234224445,0.6320398295,1.5614857153,1.2354335181,2.5284775365
1308,Marinobacterium,1.2900249594,1.081943829,1.3431185704,0.864122088,0.9872183939,0.2490112076,0.5209667059,1.1899606938,1.153194333,1.0191762375,0.9837426688,0.1944737937,1.0530950172,0.7412601108,2.0822756182
1309,Marinococcus,0.086001664,0.4327775316,0.7035382988,0.0508307111,0,2.3033536705,0.6011154298,1.2542828936,0.1921990555,0.109197454,0,0.0486184484,0.1452544851,0.0823622346,0.223100959
1310,Marinomonas,0.8600166396,1.7743878794,5.8201804716,2.7956891084,2.1090574776,0.8092864247,2.5246848051,2.2512769888,2.1141896105,1.3831677511,1.3585017805,2.625396216,1.9609355494,1.8531502772,3.2721473996
1311,Marinospirillum,0.086001664,0.5626107912,0.6395802715,0.4574763995,0.2243678168,0,0.360669258,0.7718663962,0.8841156553,0.5823864216,0.140534667,0.2430922422,0.4720770767,0.1235433518,0.6321193842
1312,Marinosulfonomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,Marinovum,0,0,0,0,0.1346206901,0,0,0.0643221997,0,0.0727983027,0,0,0.0363136213,0,0.0371834932
1314,Mariprofundus,0,0.9088328163,0.2558321087,0.3558149774,0.1794942535,0.1867584057,0.160297448,0.2251276988,0.3459582999,0.4367898159,0,0.1944737937,0.3994498342,0.1235433519,0.3718349319
