Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Desulfohalobiaceae,1347,1956,1175,1216,1188,788,961,864,735,1907,2110,1552,2260,1663,1612
Desulfomicrobiaceae,1290,1752,1018,1123,942,663,867,761,611,1628,1682,1310,1816,1442,1258
Desulfonatronaceae,1095,1681,948,864,837,626,731,703,502,1521,1484,1195,1699,1341,1149
Desulfovibrionaceae,14988,22066,12172,13133,11871,8415,10267,9446,7357,21025,20198,15464,23491,17743,15418
Desulfurellaceae,482,643,332,397,363,245,299,264,215,564,585,477,674,516,455
Desulfurobacteriaceae,335,580,325,309,296,212,234,233,222,467,527,430,579,493,435
Desulfurococcaceae,603,971,566,550,542,355,441,394,364,841,834,711,991,773,609
Desulfuromonadaceae,4428,6618,3574,4050,3761,2720,3250,2893,2455,6285,6472,4851,7204,5504,4903
Diaporthaceae,2054,2765,1474,1708,1350,1010,1272,1125,909,2661,2460,1901,2973,2244,1797
Diatrypaceae,835,1233,588,769,544,444,546,437,363,1267,1120,808,1266,924,738
Dictyoglomaceae,239,365,212,195,227,157,125,132,118,289,334,275,354,331,296
Dictyotaceae,1,5,1,1,3,5,1,0,0,8,5,3,2,1,1
Didymellaceae,2153,3094,1566,1959,1480,1086,1275,1161,900,3033,2653,1852,3312,2354,1896
Didymiaceae,2,2,0,0,0,1,1,0,0,1,0,1,0,0,0
Didymosphaeriaceae,1494,2002,1030,1445,975,709,931,695,612,1995,1812,1219,2213,1589,1230
Dientamoebidae,2,1,0,0,1,0,0,0,0,0,3,1,0,0,2
Dietziaceae,2400,3311,1652,1863,1605,1174,1538,1199,993,3184,2936,2073,4124,2751,2271
Dipodascaceae,1122,1564,788,922,781,555,741,591,461,1594,1362,913,1627,1232,999
Dolichomastigaceae,1,3,2,1,2,1,1,0,0,6,7,1,1,0,1
Dunaliellaceae,21,41,15,19,22,13,22,8,6,44,43,17,38,29,28
Echinamoebidae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ectocarpaceae,4446,6057,3271,3232,2962,2199,2742,2317,1995,5832,5318,4019,6934,5005,4233
Ectothiorhodospiraceae,14681,21019,12180,11633,10902,7799,8914,8445,7207,19080,19922,14936,20936,15454,13665
Eggerthellaceae,2329,3401,1787,1973,1721,1310,1590,1322,1129,3071,2951,2347,3674,2749,2500
Eimeriidae,14087,19537,10359,11338,10005,6895,8740,7785,6281,18732,17184,13147,21645,15907,13476
Elsinoaceae,3,2,1,2,3,0,1,1,0,2,8,0,1,3,1
Elusimicrobiaceae,75,118,81,59,55,39,53,44,41,108,97,80,110,88,91
Endomicrobiaceae,102,206,107,108,100,60,77,72,68,165,187,155,203,157,137
Entamoebidae,777,1023,555,708,494,351,513,385,301,1200,934,618,1123,854,559
Enterobacteriaceae,21123,29803,17186,20267,16009,10988,14673,12263,9926,33497,29152,20488,33083,23047,18874
Enterococcaceae,2988,4265,2207,2868,2246,1527,2066,1721,1437,4431,3770,2860,4491,3339,2491
Enterocytozoonidae,150,243,133,102,106,106,102,79,76,260,211,104,226,171,86
Entomoneidaceae,1,0,0,0,1,0,0,0,0,0,1,2,3,0,0
Entomoplasmataceae,109,146,90,92,68,70,81,50,54,126,124,87,144,105,95
Erwiniaceae,5252,7909,4140,5077,4111,2945,3801,3142,2521,8082,7217,5197,7881,5671,4751
Erysipelotrichaceae,1871,2758,1527,1643,1435,1007,1305,1062,957,2606,2432,1833,2886,2198,1666
Erysiphaceae,998,1332,723,980,684,502,627,533,401,1566,1207,777,1312,1016,723
