Genus,G11.Ah,G11.Bw,G11.Cox,G1.Ah,G1.Bw,G1.Cox,G2.Ah,G2.Bw,G2.Cox,G3a.Ah,G3a.Bw,G3a.Cox,G9.Ah,G9.Bw,G9.Cox
Ferrovum,1122,1606,1058,870,906,584,730,670,618,1458,1849,1429,1685,1098,1054
Fervidicella,79,119,59,57,55,36,37,31,33,95,64,73,102,75,79
Fervidicoccus,36,62,23,36,29,18,35,23,28,65,50,47,57,29,25
Fervidicola,87,125,82,92,67,74,67,46,58,123,124,115,149,154,115
Fervidobacterium,305,503,267,277,284,196,240,192,159,397,423,331,510,395,326
Fibrella,868,1193,610,731,645,454,637,498,374,1219,1119,796,1470,949,772
Fibrisoma,503,718,395,456,366,288,373,277,225,672,623,463,889,652,488
Fibrobacter,1065,1371,787,937,779,562,746,580,526,1516,1328,962,1659,1211,964
Fibroporia,1061,1379,774,848,693,481,601,535,474,1473,1201,927,1532,1191,936
Fibulorhizoctonia,2951,3867,2132,2293,1940,1442,1750,1491,1180,4050,3395,2666,4527,3145,2525
Fictibacillus,686,1060,530,596,485,362,445,423,331,991,913,655,1041,806,700
Filifactor,41,49,30,23,26,14,24,16,20,50,58,38,57,28,44
Filimonas,839,1043,453,522,439,272,486,295,290,741,809,470,1560,916,617
Filomicrobium,937,1419,784,646,746,459,516,625,482,925,1276,1020,1324,1115,1113
Fimbriimonas,2351,3605,1847,1722,1614,1206,1431,1185,1038,2683,3041,2166,3242,2584,1914
Finegoldia,75,94,51,54,44,28,37,24,31,93,90,51,87,75,57
Fischerella,1428,1895,1108,1383,1141,748,1102,890,671,2271,1843,1354,2537,1590,1368
Fistulifera,6,2,4,2,5,4,4,3,4,10,7,3,10,6,1
Fistulina,968,1270,710,740,682,523,615,516,422,1391,1174,876,1570,1044,793
Flagellimonas,84,112,73,77,53,53,57,48,37,113,107,84,149,120,54
Flammeovirga,629,857,459,492,427,324,416,340,236,869,738,509,1061,731,497
Flammulina,23,26,16,24,19,16,13,7,11,26,27,19,30,18,9
Flaviflexus,151,156,89,115,81,68,103,77,30,183,159,135,270,158,153
Flavihumibacter,3370,3765,1493,1670,1556,1069,1661,1283,1031,2309,2891,1698,5576,3228,2348
Flaviramulus,161,196,109,146,88,69,103,78,64,182,175,122,243,172,131
Flavisolibacter,3424,2738,902,794,894,577,966,791,579,1109,1798,1068,4377,2431,1645
Flavobacterium,7551,9490,4965,5753,4529,3067,4723,3492,2858,9621,9011,5833,12034,8205,6294
Flavonifractor,588,798,399,449,427,274,357,339,261,871,684,499,887,633,609
Flectobacillus,266,367,149,168,163,106,167,127,92,322,308,199,462,286,241
Flexibacter,216,283,177,187,143,95,151,120,90,222,255,183,370,290,190
Flexilinea,195,306,211,185,200,144,140,124,131,288,324,246,341,254,268
Flexistipes,111,171,102,98,85,66,71,70,60,171,180,130,170,128,129
Flexithrix,441,654,340,415,339,222,288,261,175,650,586,408,810,501,396
Floydiella,1,1,1,2,0,2,2,0,0,3,1,3,7,6,2
Fluoribacter,227,362,209,198,169,131,158,116,129,349,312,213,338,249,189
Fluviicola,438,600,291,277,240,153,272,204,160,572,510,304,790,542,376
Fodinicurvata,813,1191,671,939,746,520,705,551,353,1244,1153,744,1229,862,672
Fomitiporia,1012,1464,777,846,687,530,647,535,465,1563,1327,969,1601,1112,945
Fomitopsis,1339,1823,991,1088,864,643,837,720,601,1943,1677,1246,2077,1436,1223
Fonsecaea,2945,4161,2153,2970,2035,1475,2052,1672,1322,4644,3773,2673,4463,3327,2609
Fontibacillus,122,172,95,100,94,58,93,65,62,189,160,97,177,121,126
Fontimonas,571,787,494,380,374,255,288,263,253,634,821,660,696,617,636
Formivibrio,281,432,224,250,190,141,176,139,121,339,448,309,380,320,297
Formosa,302,455,236,266,265,147,233,179,135,485,373,291,551,373,301
Fortiea,192,328,142,162,141,118,162,110,82,301,240,229,321,245,219
Fournierella,137,215,116,108,108,76,77,94,64,191,187,134,229,158,146
Fragilariopsis,1119,1442,846,891,782,554,665,563,479,1551,1413,1035,1596,1243,895
Francisella,342,467,275,282,218,159,214,182,144,492,430,299,533,371,255
